date,parent username,channel username,channel id,product,impressions,estimated earnings,# of sales
2015-12-19,cas-linh,sandy-green,x1lytbe,Video Monetization,6,0.04,None
2015-12-22,cas-linh,sandy-green,x1lytbe,Video Monetization,10,0.05,None
2015-12-18,cas-linh,sandy-green,x1lytbe,Video Monetization,7,0.02,None
2015-12-17,cas-linh,sandy-green,x1lytbe,Video Monetization,9,0.05,None
2015-12-21,cas-linh,sandy-green,x1lytbe,Video Monetization,7,0.03,None
2015-12-20,cas-linh,sandy-green,x1lytbe,Video Monetization,4,0.02,None
2015-12-19,cas-linh,anime365,x1lys6b,Video Monetization,128,1.02,None
2015-12-22,cas-linh,anime365,x1lys6b,Video Monetization,221,1.69,None
2015-12-18,cas-linh,anime365,x1lys6b,Video Monetization,86,0.73,None
2015-12-17,cas-linh,anime365,x1lys6b,Video Monetization,79,0.71,None
2015-12-21,cas-linh,anime365,x1lys6b,Video Monetization,233,1.69,None
2015-12-20,cas-linh,anime365,x1lys6b,Video Monetization,116,0.85,None
2015-12-19,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,181,0.12,None
2015-12-22,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,289,0.18,None
2015-12-18,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,159,0.12,None
2015-12-17,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,193,0.17,None
2015-12-21,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,101,0.09,None
2015-12-20,cas-linh,liveforentertainment,x1lyxcd,Video Monetization,203,0.14,None
2015-12-21,cas-linh,hightlight-bongda,x1oz7oh,Video Monetization,2,0.01,None
2015-12-22,cas-linh,footboall_hq,x1m0d7o,Video Monetization,9,0.03,None
2015-12-19,cas-linh,cartoon247,x1lzypt,Video Monetization,16,0.08,None
2015-12-22,cas-linh,cartoon247,x1lzypt,Video Monetization,39,0.37,None
2015-12-18,cas-linh,cartoon247,x1lzypt,Video Monetization,15,0.09,None
2015-12-17,cas-linh,cartoon247,x1lzypt,Video Monetization,7,0.04,None
2015-12-21,cas-linh,cartoon247,x1lzypt,Video Monetization,43,0.29,None
2015-12-20,cas-linh,cartoon247,x1lzypt,Video Monetization,25,0.21,None
2015-12-19,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,1094,5.41,None
2015-12-22,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,1098,5.77,None
2015-12-18,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,990,4.94,None
2015-12-17,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,825,3.74,None
2015-12-21,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,974,4.62,None
2015-12-20,cas-linh,thamhiemvn2014,x1lyuqe,Video Monetization,905,4.18,None
2015-12-19,cas-linh,cartoon365,x1lzmct,Video Monetization,55,0.27,None
2015-12-22,cas-linh,cartoon365,x1lzmct,Video Monetization,70,0.19,None
2015-12-18,cas-linh,cartoon365,x1lzmct,Video Monetization,11,0.05,None
2015-12-17,cas-linh,cartoon365,x1lzmct,Video Monetization,18,0.05,None
2015-12-21,cas-linh,cartoon365,x1lzmct,Video Monetization,47,0.16,None
2015-12-20,cas-linh,cartoon365,x1lzmct,Video Monetization,76,0.27,None
2015-12-19,cas-linh,tuan-dao,x1kxsz5,Video Monetization,100,0.29,None
2015-12-22,cas-linh,tuan-dao,x1kxsz5,Video Monetization,27,0.04,None
2015-12-18,cas-linh,tuan-dao,x1kxsz5,Video Monetization,59,0.11,None
2015-12-17,cas-linh,tuan-dao,x1kxsz5,Video Monetization,45,0.03,None
2015-12-21,cas-linh,tuan-dao,x1kxsz5,Video Monetization,36,0.07,None
2015-12-20,cas-linh,tuan-dao,x1kxsz5,Video Monetization,49,0.06,None
2015-12-18,cas-linh,daehanmingukmanseeng,x1m3ndb,Video Monetization,8,0,None
2015-12-17,cas-linh,daehanmingukmanseeng,x1m3ndb,Video Monetization,4,0,None
2015-12-22,cas-linh,daehanmingukmanseeng,x1m3ndb,Video Monetization,5,0.01,None
2015-12-19,cas-linh,daehanmingukmanseeng,x1m3ndb,Video Monetization,1,0,None
2015-12-20,cas-linh,daehanmingukmanseeng,x1m3ndb,Video Monetization,6,0.01,None
2015-12-17,cas-linh,animeviet,x1lyvn6,Video Monetization,1,0.01,None
2015-12-21,cas-linh,animeviet,x1lyvn6,Video Monetization,1,0,None
2015-12-22,cas-linh,animeviet,x1lyvn6,Video Monetization,4,0.01,None
2015-12-19,cas-linh,kiddycartoons,x1oeebp,Video Monetization,565,2.04,None
